date,close,btc_vol_30d,drawdown,macro_pressure,risk_regime,vix,us10y
2026-02-07,58626.40625,79.87997480166261,-0.6599627163830067,50.99573706884558,MEDIUM,20.3700008392334,4.205999851226807
2026-02-08,59411.56640625,80.23486097639395,-0.2334177625506617,51.20567315292678,MEDIUM,20.3700008392334,4.205999851226807
2026-02-09,58907.5546875,80.19865789653254,-0.5072264289658927,25.993547923381954,MEDIUM,17.360000610351562,4.197999954223633
2026-02-10,57865.96875,80.0957285197737,-1.0730768762750214,33.15591353836515,MEDIUM,17.790000915527344,4.146999835968018
2026-02-11,56415.27734375,80.21019737278357,-1.8611773599512105,39.8641120310197,MEDIUM,17.649999618530273,4.171999931335449
2026-02-12,55793.23046875,77.48016851330918,-2.1991096320696535,45.7147416863355,LOW,20.81999969482422,4.104000091552734
2026-02-13,58012.38671875,78.96045316551049,-0.9935340655203585,31.390511457107884,LOW,20.600000381469727,4.056000232696533
2026-02-14,58766.5234375,79.40748489797433,-0.5838428588003842,33.73445561264958,LOW,20.600000381469727,4.056000232696533
2026-02-15,57965.94921875,79.32148150152929,-1.0187616335979188,47.17310762643315,LOW,20.600000381469727,4.056000232696533
2026-02-16,58093.2265625,79.42548501318984,-0.9496171306814238,40.53241521965457,LOW,20.600000381469727,4.056000232696533
2026-02-17,56950.5390625,79.45893170403919,-1.5703918644124477,55.076668234809624,MEDIUM,20.290000915527344,4.052000045776367
2026-02-18,56344.0859375,79.45507533280558,-1.8998526987982551,69.79943507913558,MEDIUM,19.6200008392334,4.078999996185303
2026-02-19,56895.6171875,78.24539954553721,-1.60022864159705,72.98722585026535,MEDIUM,20.229999542236328,4.074999809265137
2026-02-20,57685.59765625,78.13475054944956,-1.1710650118723964,67.55074428682398,MEDIUM,19.09000015258789,4.085999965667725
2026-02-21,57720.77734375,78.19589355653392,-1.1519533464865757,67.56962577519923,MEDIUM,19.09000015258789,4.085999965667725
2026-02-22,57179.42578125,78.1905749272182,-1.4460472016007948,68.66768001008656,MEDIUM,19.09000015258789,4.085999965667725
2026-02-23,54792.66796875,79.02758807171921,-2.742673746946871,60.23345497372928,MEDIUM,21.010000228881836,4.0289998054504395
2026-02-24,54423.8828125,78.65528759212398,-2.9430194295373058,51.80240522122731,MEDIUM,19.549999237060547,4.0329999923706055
2026-02-25,57526.81640625,81.44546398111804,-1.2573242806490625,40.90198104533451,MEDIUM,17.93000030517578,4.047999858856201
2026-02-26,57148.25,81.42826976844738,-1.462983710755149,37.929013819008624,MEDIUM,18.6299991607666,4.017000198364258
2026-02-27,55746.01171875,81.51253108561274,-2.224761620875321,32.6677997697037,MEDIUM,19.860000610351562,3.9619998931884766
2026-02-28,56689.6875,80.52040326098016,-1.7121017013138502,47.97027694328987,MEDIUM,19.860000610351562,3.9619998931884766
2026-03-01,55904.140625,80.46131669778697,-2.1388567434066124,47.04920512464687,MEDIUM,19.860000610351562,3.9619998931884766
2026-03-02,58809.47265625,80.15748312578656,-0.5605103292737237,77.68154459108116,HIGH,21.440000534057617,4.047999858856201
2026-03-03,58819.1328125,79.92283792522132,-0.5552623669709169,99.99999999663926,MEDIUM,23.56999969482422,4.056000232696533
